desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel
447519202500090,http://www.animal.go.kr/files/shelter/2025/02/202503120903375_s.jpg,2025-03-12,이서면 대곡리,[개] 믹스견,갈색&검정,2022(년생),8(Kg),경북-청도-2025-00090,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903375.jpg,보호중,F,U,"83,84번어미로 추정",청도군동물보호센터,054-371-9267,경상북도 청도군 청도읍 중앙로 84-466  동물보호센터,경상북도 청도군,청도군,0543706557
447519202500089,http://www.animal.go.kr/files/shelter/2025/02/202503120903695_s.jpg,2025-03-12,매전면 모은정길,[개] 믹스견,갈색,2025(60일미만)(년생),4(Kg),경북-청도-2025-00089,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903695.jpg,보호중,F,U,작고귀여움,청도군동물보호센터,054-371-9267,경상북도 청도군 청도읍 중앙로 84-466  동물보호센터,경상북도 청도군,청도군,0543706557
446496202500098,http://www.animal.go.kr/files/shelter/2025/02/202503120803669_s.jpg,2025-03-12,함평읍 읍내파출소,[개] 믹스견,검정&흰색,2024(년생),8.00(Kg),전남-함평-2025-00095,2025-03-12,2025-03-26,http://www.animal.go.kr/files/shelter/2025/02/202503120803669.jpg,보호중,M,U,순함,학교임시동물보호센터,010-5649-3435,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,전라남도 함평군,이보현,061-320-1938
446481202500079,http://www.animal.go.kr/files/shelter/2025/02/202503121103100_s.jpg,2025-03-12,오천3길 39 이마트 편의점 인근,[개] 믹스견,검정&흰색,2021(년생),9.0(Kg),전남-여수-2025-00079,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121103100.jpg,보호중,F,N,경계심 있음.,유기동물보호소,061-659-2474,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",전라남도 여수시,최인정,061-659-2473
445472202500067,http://www.animal.go.kr/files/shelter/2025/02/202503121003680_s.jpg,2025-03-12,화산면 운곡리,[개] 믹스견,검정&황갈색,2025(60일미만)(년생),4(Kg),전북-완주-2025-00067,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121003680.jpg,보호중,M,N,3개월령,완주군유기동물보호소,063-290-3248,전라북도 완주군 용진읍 순지2길 187-6  ,전북특별자치도 완주군,나상운,063-290-3248
444462202500243,http://www.animal.go.kr/files/shelter/2025/02/202503120903876_s.jpg,2025-03-12,안면읍 병술만로 24,[개] 믹스견,흑갈색,2021(년생),6(Kg),충남-태안-2025-00151,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903876.jpg,보호중,F,N,순하고 잘따름,최동물병원,041-672-0346,충청남도 태안군 태안읍 남문리 504-6,충청남도 태안군,박종성,041-670-2371
444449202500272,http://www.animal.go.kr/files/shelter/2025/02/20250312110393_s.jpg,2025-03-12,서북구 성환읍 성환22길 1-18,[개] 라브라도 리트리버,크림색,2021(년생),35(Kg),충남-천안-2025-00145,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/20250312110393.jpg,보호중,F,N,칩 등록되어 있음,천안시 동물보호센터,010-5913-5119,"충청남도 천안시 동남구 목천읍 충절로 577  문의전화 : 입양(010-5913-5119), 구조(010-4999-6119)",충청남도 천안시,류재애,041-521-5739
441417202500078,http://www.animal.go.kr/files/shelter/2025/02/202503121103256_s.jpg,2025-03-12,경기도 양평군 양동면 작은황골길 64-120,[개] 믹스견,흰색&황갈색,2022(년생),9.8(Kg),경기-양평-2025-00079,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121103256.png,보호중,F,N,경계심 있으나 온순함 머리 가운데 흰 줄,양평군유기동물보호소,031-770-2337,경기도 양평군 양평읍 농업기술센터길 59-1  ,경기도 양평군,김영재,031-770-3625
441401202500091,http://www.animal.go.kr/files/shelter/2025/03/202503121303278_s.jpg,2025-03-12,안현동 산49-9,[개] 믹스견,"기타(검,흰)",2017(년생),20(Kg),경기-시흥-2025-00091,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/03/202503121303278.jpg,보호중,M,N,"사람 손길에 익숙하며 순하고 얌전함, 목줄과 옷 입은 상태로 발견 ",시흥동물누리보호센터,031-310-6945,경기도 시흥시 뒷방울길 218 (정왕동) ,경기도 시흥시,황재민,031-310-2247
441399202500226,http://www.animal.go.kr/files/shelter/2025/02/202503121103973_s.jpg,2025-03-12,진접 장현로113,[개] 시바,황갈색,2022(년생),11(Kg),경기-남양주-2025-00105,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121103973.jpg,보호중,M,N,매우 활발하며 사람을 가리지않고 좋아함.,남양주시동물보호센터,031-579-3604,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도 남양주시,한예주,031-590-2324
441378202500118,http://www.animal.go.kr/files/shelter/2025/02/202503121103935_s.jpg,2025-03-12,하대원동 266,[개] 믹스견,갈색&흰색,2025(60일미만)(년생),1.76(Kg),경기-성남-2025-00083,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121103935.jpg,보호중,F,N,"2개월 추정, 피부병(옴의심), 귀염증, 콧물",펫앤쉘터동물병원,031-714-8392,"경기도 성남시 분당구 불정로 266 (수내동, 유신제일조합) ",경기도 성남시,이은진,031-729-3289
441378202500117,http://www.animal.go.kr/files/shelter/2025/02/202503121103947[2]_s.jpg,2025-03-12,하대원동 266,[개] 믹스견,갈색&검정,2025(60일미만)(년생),1.9(Kg),경기-성남-2025-00082,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121103947[2].jpg,보호중,M,N,"2개월 추정, 피부병(옴의심), 귀염증, 콧물",펫앤쉘터동물병원,031-714-8392,"경기도 성남시 분당구 불정로 266 (수내동, 유신제일조합) ",경기도 성남시,이은진,031-729-3289
430367202500097,http://www.animal.go.kr/files/shelter/2025/02/202503121303690_s.jpg,2025-03-12,관평동 896 테크노8단지 관리사무소 주변 ,[개] 푸들,갈색,2022(년생),4(Kg),대전-유성-2025-00064,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121303690.png,보호중,M,U,없음,대전동물보호센터,042-270-7239,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 유성구,정다원,042-611-2785
430367202500096,http://www.animal.go.kr/files/shelter/2025/02/202503121303297_s.jpg,2025-03-12,관평동 896 테크노8단지 관리사무소 주변 ,[개] 말티즈,흰색,2022(년생),4(Kg),대전-유성-2025-00063,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121303297.png,보호중,M,U,없음,대전동물보호센터,042-270-7239,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 유성구,정다원,042-611-2785
450650202500543,http://www.animal.go.kr/files/shelter/2025/02/20250312090345_s.jpg,2025-03-11,제주시 조천읍 교래리산119돌문화공원관리소,[개] 믹스견,갈색&검정&흰색,2024(년생),19(Kg),제주-제주-2025-00528,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/20250312090345.jpg,보호중,M,N,개체관리번호 0488 - 검정가죽목줄,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,박성훈,064-710-4065
450650202500542,http://www.animal.go.kr/files/shelter/2025/02/202503120903706_s.jpg,2025-03-11,제주시 조천읍 함선로302,[개] 믹스견,흰색,2024(년생),18.9(Kg),제주-제주-2025-00527,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903706.jpg,보호중,M,N,개체관리번호 0487 - 빨간징목줄,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,박성훈,064-710-4065
450650202500541,http://www.animal.go.kr/files/shelter/2025/02/202503120903511_s.jpg,2025-03-11,제주시 한림읍 한림로14길3-18 인근 한림읍내,[개] 믹스견,갈색,2025(년생),8.9(Kg),제주-제주-2025-00526,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903511.jpg,보호중,M,N,"개체관리번호 0486 - 4개월/삼색(검,회,노)목줄",제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,박성훈,064-710-4065
450650202500540,http://www.animal.go.kr/files/shelter/2025/02/202503120903638_s.jpg,2025-03-11,제주시 외도일동 통물길75 외도119센터,[개] 라브라도 리트리버,검정색,2019(년생),29(Kg),제주-제주-2025-00525,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903638.jpg,보호중,M,N,개체관리번호 0485 - 검정목줄/심장사상충,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,박성훈,064-710-4065
450650202500539,http://www.animal.go.kr/files/shelter/2025/02/20250312090326_s.jpg,2025-03-11,서귀포시 성산읍 환해장성로415 원담수산,[개] 믹스견,갈색,2024(년생),9.7(Kg),제주-제주-2025-00524,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/20250312090326.jpg,보호중,F,U,개체관리번호 0484 ,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,박성훈,064-710-4065
450650202500538,http://www.animal.go.kr/files/shelter/2025/02/202503120903556_s.jpg,2025-03-11,서귀포시 남원읍 서성로636,[개] 믹스견,기타(브린들),2025(년생),3.9(Kg),제주-제주-2025-00523,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903556.jpg,보호중,M,N,개체관리번호 0483 - 3개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,박성훈,064-710-4065
450650202500537,http://www.animal.go.kr/files/shelter/2025/02/202503120903114_s.jpg,2025-03-11,서귀포시 남원읍 서성로636,[개] 믹스견,갈색,2025(년생),4.5(Kg),제주-제주-2025-00522,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903114.jpg,보호중,F,N,개체관리번호 0482 - 3개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,박성훈,064-710-4065
450650202500536,http://www.animal.go.kr/files/shelter/2025/02/202503120903812_s.jpg,2025-03-11,서귀포시 남원읍 서성로636,[개] 믹스견,갈색,2025(년생),4.2(Kg),제주-제주-2025-00521,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903812.jpg,보호중,F,N,개체관리번호 0481 - 3개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,박성훈,064-710-4065
450650202500535,http://www.animal.go.kr/files/shelter/2025/02/202503120903370_s.jpg,2025-03-11,서귀포시 남원읍 서성로636,[개] 믹스견,갈색,2025(년생),5(Kg),제주-제주-2025-00520,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903370.jpg,보호중,M,N,개체관리번호 0480 - 3개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,박성훈,064-710-4065
450650202500534,http://www.animal.go.kr/files/shelter/2025/02/202503120903533[1]_s.jpg,2025-03-11,서귀포시 성산읍 서성일로1008 야자파크,[개] 믹스견,갈색&검정,2025(년생),4.3(Kg),제주-제주-2025-00519,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903533[1].jpg,보호중,F,N,개체관리번호 0479 - 4개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도,박성훈,064-710-4065
447522202500042,http://www.animal.go.kr/files/shelter/2025/02/202503121203128_s.jpg,2025-03-11,가산면석우리,[개] 말티즈,흰색,2019(년생),1.5(Kg),경북-칠곡-2025-00042,2025-03-12,2025-03-20,http://www.animal.go.kr/files/shelter/2025/02/202503121203128.jpg,보호중,F,U,논뚝옆 강쥐혼자올수없는곳 구조성격조용하고 사람잘따름,칠곡유기동물보호센터,054-973-5710,경상북도 칠곡군 석적읍 포망로 341 (석적읍) ,경상북도 칠곡군,동물보호담당,054-979-6493
447510202500204,http://www.animal.go.kr/files/shelter/2025/02/202503111403379_s.jpg,2025-03-11,영천시 천문로 534 진명공업사,[개] 믹스견,옅은 황색,2024(년생),5(Kg),경북-영천-2025-00086,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503111403379.jpg,보호중,F,N,경계심이 많고 겁이 많은 성격,영천유기동물보호센터,054-339-7177,"경상북도 영천시 천문로 622-13 (오미동, 영천시농업기술센터) ",경상북도 영천시,서보훈,054-339-7177
447510202500203,http://www.animal.go.kr/files/shelter/2025/02/202503111403477[1]_s.jpg,2025-03-11,영천시 천문로 534 진명공업사,[개] 믹스견,금갈색,2022(년생),5(Kg),경북-영천-2025-00085,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503111403477[1].jpg,보호중,F,N,경계심이 많고 겁이 많은 성격,영천유기동물보호센터,054-339-7177,"경상북도 영천시 천문로 622-13 (오미동, 영천시농업기술센터) ",경상북도 영천시,서보훈,054-339-7177
447505202500197,http://www.animal.go.kr/files/shelter/2025/02/202503121103280_s.jpg,2025-03-11,포석로 985 부근,[개] 믹스견,갈색,2022(년생),11.3(Kg),경북-경주-2025-00197,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121103280.jpg,보호중,F,U,이국적인 외모를 가진 털뭉치 견! 발견당시 붉은 목걸이와 노랑 검정 목줄 착용,경주동물사랑보호센터,010-8889-2883,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시,김규환,054-760-2886
446493202500116,http://www.animal.go.kr/files/shelter/2025/02/202503111703523_s.jpg,2025-03-11,현산면 증산리,[개] 믹스견,갈색,2023(년생),8.75(Kg),전남-해남-2025-00116,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503111703523.jpg,보호중,F,U,사람을 경계함.,해남유기동물보호센터,061-531-3916,전라남도 해남군 해남읍 용머리길 14-37  ,전라남도 해남군,차수희,061-531-3916
446493202500115,http://www.animal.go.kr/files/shelter/2025/02/202503111403100_s.jpg,2025-03-11,화산면 안정리,[개] 믹스견,흰색,2025(년생),6.38(Kg),전남-해남-2025-00115,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503111403100.jpg,보호중,F,U,사람을 잘따름.,해남유기동물보호센터,061-531-3916,전라남도 해남군 해남읍 용머리길 14-37  ,전라남도 해남군,차수희,061-531-3916
446493202500114,http://www.animal.go.kr/files/shelter/2025/02/20250311140385_s.jpg,2025-03-11,화산면 안정리,[개] 믹스견,흰색,2025(년생),6.25(Kg),전남-해남-2025-00114,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/20250311140385.jpg,보호중,F,U,사람을 잘따름.,해남유기동물보호센터,061-531-3916,전라남도 해남군 해남읍 용머리길 14-37  ,전라남도 해남군,차수희,061-531-3916
446493202500113,http://www.animal.go.kr/files/shelter/2025/02/202503111103895_s.jpg,2025-03-11,황산면 징의리,[개] 믹스견,갈색,2025(년생),5.84(Kg),전남-해남-2025-00113,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503111103895.jpg,보호중,M,U,사람을 잘따름.,해남유기동물보호센터,061-531-3916,전라남도 해남군 해남읍 용머리길 14-37  ,전라남도 해남군,차수희,061-531-3916
446493202500112,http://www.animal.go.kr/files/shelter/2025/02/202503111103622_s.jpg,2025-03-11,황산면 징의리,[개] 믹스견,갈색,2025(년생),5.32(Kg),전남-해남-2025-00112,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503111103622.jpg,보호중,M,U,사람을 잘따름. 목걸이 착용.,해남유기동물보호센터,061-531-3916,전라남도 해남군 해남읍 용머리길 14-37  ,전라남도 해남군,차수희,061-531-3916
446493202500111,http://www.animal.go.kr/files/shelter/2025/02/202503111103907_s.jpg,2025-03-11,마산면 금자리,[개] 믹스견,갈색&검정,2025(년생),3.58(Kg),전남-해남-2025-00111,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503111103907.jpg,보호중,M,U,사람을 잘따름.,해남유기동물보호센터,061-531-3916,전라남도 해남군 해남읍 용머리길 14-37  ,전라남도 해남군,차수희,061-531-3916
446493202500110,http://www.animal.go.kr/files/shelter/2025/02/202503111103283[1]_s.jpg,2025-03-11,마산면 금자리,[개] 믹스견,갈색&검정,2025(년생),3.42(Kg),전남-해남-2025-00110,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503111103283[1].jpg,보호중,F,U,사람을 잘따름.,해남유기동물보호센터,061-531-3916,전라남도 해남군 해남읍 용머리길 14-37  ,전라남도 해남군,차수희,061-531-3916
446493202500109,http://www.animal.go.kr/files/shelter/2025/02/202503111103992_s.jpg,2025-03-11,마산면 금자리,[개] 믹스견,갈색&검정,2025(년생),3.98(Kg),전남-해남-2025-00109,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503111103992.jpg,보호중,F,U,사람을 잘따름.,해남유기동물보호센터,061-531-3916,전라남도 해남군 해남읍 용머리길 14-37  ,전라남도 해남군,차수희,061-531-3916
446493202500108,http://www.animal.go.kr/files/shelter/2025/02/20250311110375_s.jpg,2025-03-11,마산면 금자리,[개] 믹스견,검정색,2025(년생),3.52(Kg),전남-해남-2025-00108,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/20250311110375.jpg,보호중,F,U,사람을 잘따름.,해남유기동물보호센터,061-531-3916,전라남도 해남군 해남읍 용머리길 14-37  ,전라남도 해남군,차수희,061-531-3916
445468202500446,http://www.animal.go.kr/files/shelter/2025/02/202503120003434[1]_s.jpg,2025-03-11,익산시춘포면신동리235,[개] 믹스견,기타(흰색),2023(년생),13(Kg),전북-익산-2025-00303,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120003434[1].jpg,보호중,F,N,사납고 경계가심함,익산유기동물보호소,063-855-1214,전북특별자치도 익산시 삼기면 황금로 342-17  ,전북특별자치도 익산시,주온유,063-859-5769
445468202500445,http://www.animal.go.kr/files/shelter/2025/02/202503120003434_s.jpg,2025-03-11,익산시익산대로76길,[개] 믹스견,기타(흰검정),2025(60일미만)(년생),2.5(Kg),전북-익산-2025-00302,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120003434.jpg,보호중,M,N,생후2개월정도 순하고이쁘게생겼음,익산유기동물보호소,063-855-1214,전북특별자치도 익산시 삼기면 황금로 342-17  ,전북특별자치도 익산시,주온유,063-859-5769
445468202500444,http://www.animal.go.kr/files/shelter/2025/02/20250312000360_s.jpg,2025-03-11,익산시익산대로76길,[개] 믹스견,기타(흰색),2024(년생),10(Kg),전북-익산-2025-00301,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/20250312000360.jpg,보호중,F,N,발발이믹스개이며 작고순한편임,익산유기동물보호소,063-855-1214,전북특별자치도 익산시 삼기면 황금로 342-17  ,전북특별자치도 익산시,주온유,063-859-5769
441408202500528,http://www.animal.go.kr/files/shelter/2025/02/202503121203177_s.jpg,2025-03-11,장원리 1384 세양주식회사,[개] 믹스견,갈색,2024(년생),15(Kg),경기-안성-2025-00132,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121203177.jpg,보호중,M,N,순함,이성준동물병원,031-673-5858,경기도 안성시 중앙로 431-1 (봉남동) ,경기도 안성시,안성시,031-678-5493
441374202500096,http://www.animal.go.kr/files/shelter/2025/02/202503121103239_s.jpg,2025-03-11,권선구 입북동 95 앞 노상,[개] 진도견,흰색,2022(년생),16.5(Kg),경기-수원-2025-00073,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121103239.jpg,보호중,F,U,"내장형 무선식별장치 있음, 목줄착용",수원시 동물보호센터,031-228-3557,"경기도 수원시 영통구 광교호수로 234 (하동, 수원시 동물보호센터) 하동 40-10",경기도 수원시,서승원,031-228-3328
430368202500037,http://www.animal.go.kr/files/shelter/2025/02/202503121303392_s.jpg,2025-03-11,장동 산림욕장 주변,[개] 믹스견,갈색&흰색,2021(년생),5(Kg),대전-대덕-2025-00037,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121303392.png,보호중,M,U, ,대전동물보호센터,042-270-7239,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 대덕구,정인영,042-608-6953
428357202500147,http://www.animal.go.kr/files/shelter/2025/02/202503120603240_s.jpg,2025-03-11,강화읍 용정리 1032 부근 농로,[개] 믹스견,흰색,2025(년생),3.95(Kg),인천-강화-2025-00173,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120603240.jpg,보호중,M,N,온순함 / 겁이많음,디디동물병원,010-2679-3786,인천광역시 강화군 강화읍 강화대로 254-1  ,인천광역시 강화군,강화군청,032-930-4533
428357202500146,http://www.animal.go.kr/files/shelter/2025/02/202503120603732_s.jpg,2025-03-11,강화읍 용정리 1032 부근 농로,[개] 믹스견,흰색,2025(년생),4.4(Kg),인천-강화-2025-00172,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120603732.jpg,보호중,F,N,온순함 / 겁이많음,디디동물병원,010-2679-3786,인천광역시 강화군 강화읍 강화대로 254-1  ,인천광역시 강화군,강화군청,032-930-4533
428357202500145,http://www.animal.go.kr/files/shelter/2025/02/202503120603931_s.jpg,2025-03-11,이강리 4-2,[개] 믹스견,검정색,2024(년생),7.9(Kg),인천-강화-2025-00171,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120603931.jpg,보호중,M,N,온순함 / 검정바탕에 빨간줄 목줄있음,디디동물병원,010-2679-3786,인천광역시 강화군 강화읍 강화대로 254-1  ,인천광역시 강화군,강화군청,032-930-4533
428351202500049,http://www.animal.go.kr/files/shelter/2025/02/202503120903316_s.jpg,2025-03-11,미추홀구 송림로 251,[개] 포메라니안,검정색,2018(년생),2.8(Kg),인천-미추홀-2025-00035,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903316.jpg,보호중,M,N,"얼굴 곰돌이컷/ 꼬리만 길게 남기고 미용됨, 순함",인천광역시수의사회,032-515-7567,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",인천광역시 미추홀구,미추홀구,032-880-4682
